epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.48596,1.92349,4.47238,1.96847,4e-05,0.01282,2e-05,0,nan,nan,nan,0.0847,0.0017,0.0017
2,8.32627,2.57223,3.44568,2.50694,4e-05,0.01282,2e-05,0,nan,nan,nan,0.068437,0.003437,0.003437
3,12.1502,2.33834,3.06922,2.30281,4e-05,0.01282,2e-05,0,nan,nan,nan,0.0521092,0.0051092,0.0051092
4,17.336,2.37579,3.07312,2.34596,4e-05,0.01282,2e-05,0,nan,nan,nan,0.0357166,0.0067166,0.0067166
5,21.5912,2.31088,3.01038,2.24475,0.00158,0.24359,0.00134,0.00048,nan,nan,nan,0.0192592,0.0082592,0.0082592
6,25.7793,2.19406,2.91978,2.14995,0.00158,0.24359,0.00134,0.00048,nan,nan,nan,0.0091,0.0091,0.0091
7,29.8603,2.12604,2.68218,2.07412,0.00158,0.24359,0.00134,0.00048,0,41.2656,0,0.00892,0.00892,0.00892
8,33.9978,2.01204,2.51434,1.99461,0.00158,0.24359,0.00134,0.00048,0,0,0,0.00874,0.00874,0.00874
9,38.1671,2.02467,2.56713,1.99772,0.00064,0.01282,0.00038,0.00011,4.49634,6.8439,39.9466,0.00856,0.00856,0.00856
10,41.987,1.88837,2.46225,1.93832,0.00377,0.05128,0.00143,0.00037,4.33576,3.87623,3.99579,0.00838,0.00838,0.00838
11,45.7531,1.97421,2.47595,1.98093,0.05818,0.06136,0.01053,0.00221,3.57694,5.13559,3.39523,0.0082,0.0082,0.0082
12,49.9863,1.90662,2.41384,1.91303,0.7299,0.19651,0.28927,0.11724,2.04645,5.42081,2.26642,0.00802,0.00802,0.00802
13,54.1825,1.86887,2.3769,1.88706,0.63797,0.20513,0.15425,0.07577,2.04022,9.80989,2.30614,0.00784,0.00784,0.00784
14,57.9212,1.83645,2.23897,1.83806,0.51308,0.02564,0.01343,0.00324,2.96518,11.7003,3.774,0.00766,0.00766,0.00766
15,61.6141,1.77958,2.14241,1.77901,0.80976,0.20513,0.2416,0.13401,1.84251,6.08557,2.14537,0.00748,0.00748,0.00748
16,65.7706,1.87414,2.21437,1.88799,0.52337,0.03846,0.01084,0.00433,2.79805,6.01979,3.09585,0.0073,0.0073,0.0073
17,69.5111,1.70272,2.07706,1.76259,0.00261,0.55495,0.00407,0.00096,3.34108,23.2996,3.9754,0.00712,0.00712,0.00712
18,73.2821,1.83116,2.15872,1.85063,0.5057,0.20513,0.03926,0.0208,1.95827,7.42369,2.10067,0.00694,0.00694,0.00694
19,77.0198,1.78422,2.18727,1.80153,0.49429,0.3663,0.24655,0.09018,1.94042,3.55182,1.96035,0.00676,0.00676,0.00676
20,80.9395,1.74751,2.12359,1.7983,0.39489,0.39803,0.33716,0.21663,1.60103,2.27539,1.73308,0.00658,0.00658,0.00658
21,85.2993,1.75121,2.12647,1.78564,0.88525,0.25641,0.43656,0.24919,1.60062,2.0946,1.75707,0.0064,0.0064,0.0064
22,89.0428,1.77582,2.08686,1.80107,0.57593,0.40151,0.41606,0.22406,1.73126,2.41611,1.80537,0.00622,0.00622,0.00622
23,93.4935,1.6357,1.92248,1.70539,0.94612,0.21247,0.35733,0.21665,1.74396,2.91287,1.85288,0.00604,0.00604,0.00604
24,97.1328,1.72622,2.01998,1.78199,0.5467,0.36795,0.34301,0.17568,1.90069,2.25827,1.87713,0.00586,0.00586,0.00586
25,100.754,1.69333,1.98976,1.71213,0.76675,0.44048,0.48319,0.2934,1.43877,2.01224,1.58357,0.00568,0.00568,0.00568
26,104.479,1.63817,1.94561,1.70424,0.47451,0.44505,0.41575,0.21738,1.63744,2.08474,1.73433,0.0055,0.0055,0.0055
27,108.105,1.68633,2.01669,1.76338,0.8309,0.32051,0.36231,0.20039,1.60438,1.9185,1.73303,0.00532,0.00532,0.00532
28,112.042,1.55475,1.9114,1.65685,0.54774,0.52198,0.49314,0.2976,1.49805,1.85366,1.6613,0.00514,0.00514,0.00514
29,117.046,1.59063,1.87311,1.65762,0.46568,0.34341,0.34415,0.19117,1.8026,2.12772,1.87732,0.00496,0.00496,0.00496
30,120.686,1.56663,1.8105,1.6393,0.54087,0.52198,0.48052,0.29488,1.62844,2.0773,1.74364,0.00478,0.00478,0.00478
31,124.332,1.51718,1.80642,1.61341,0.33011,0.35623,0.42638,0.25658,1.54854,1.96747,1.65569,0.0046,0.0046,0.0046
32,127.994,1.56631,1.84846,1.66063,0.93415,0.25366,0.31275,0.21239,1.64576,2.02024,1.70375,0.00442,0.00442,0.00442
33,131.623,1.64901,1.89497,1.71757,0.52707,0.38112,0.38277,0.22887,1.62085,1.80163,1.7296,0.00424,0.00424,0.00424
34,135.268,1.51965,1.77945,1.62835,0.45974,0.37912,0.40095,0.24557,1.46193,1.7746,1.61973,0.00406,0.00406,0.00406
35,138.909,1.57131,1.76559,1.63426,0.57047,0.32053,0.35445,0.1979,1.64869,2.82213,1.76049,0.00388,0.00388,0.00388
36,142.564,1.45309,1.74067,1.5789,0.87898,0.32535,0.37894,0.22503,1.66026,2.02125,1.77929,0.0037,0.0037,0.0037
37,146.21,1.5348,1.72308,1.60115,0.59254,0.47013,0.45371,0.24965,1.5284,1.78771,1.65711,0.00352,0.00352,0.00352
38,149.856,1.60226,1.82251,1.64815,0.81994,0.48352,0.57516,0.369,1.53491,1.59932,1.69325,0.00334,0.00334,0.00334
39,153.571,1.47074,1.69374,1.58183,0.68802,0.49367,0.55914,0.32142,1.52827,1.64595,1.6763,0.00316,0.00316,0.00316
40,157.24,1.47914,1.68559,1.58628,0.80521,0.39912,0.49082,0.28529,1.53386,1.58314,1.61726,0.00298,0.00298,0.00298
41,161.399,1.50874,1.63789,1.6945,0.55823,0.42216,0.44768,0.26868,1.56676,1.71515,1.67501,0.0028,0.0028,0.0028
42,165.081,1.43954,1.55283,1.65446,0.85198,0.50299,0.58013,0.35548,1.39694,1.46784,1.55647,0.00262,0.00262,0.00262
43,168.709,1.40729,1.43508,1.62703,0.61067,0.54594,0.5501,0.33489,1.56256,1.51768,1.67493,0.00244,0.00244,0.00244
